Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
2008–2010,3502,Ingen tilbagefald,Grundskole,Mænd,15–19 år
2008–2010,2908,Ingen tilbagefald,Grundskole,Mænd,20–24 år
2008–2010,2126,Ingen tilbagefald,Grundskole,Mænd,25–29 år
2008–2010,1996,Ingen tilbagefald,Grundskole,Mænd,30–34 år
2008–2010,2185,Ingen tilbagefald,Grundskole,Mænd,35–39 år
2008–2010,4224,Ingen tilbagefald,Grundskole,Mænd,40–49 år
2008–2010,2580,Ingen tilbagefald,Grundskole,Mænd,50–59 år
2008–2010,2159,Ingen tilbagefald,Grundskole,Mænd,60+ år
2008–2010,1155,Ingen tilbagefald,Grundskole,Kvinder,15–19 år
2008–2010,805,Ingen tilbagefald,Grundskole,Kvinder,20–24 år
2008–2010,519,Ingen tilbagefald,Grundskole,Kvinder,25–29 år
2008–2010,583,Ingen tilbagefald,Grundskole,Kvinder,30–34 år
2008–2010,637,Ingen tilbagefald,Grundskole,Kvinder,35–39 år
2008–2010,1326,Ingen tilbagefald,Grundskole,Kvinder,40–49 år
2008–2010,914,Ingen tilbagefald,Grundskole,Kvinder,50–59 år
2008–2010,879,Ingen tilbagefald,Grundskole,Kvinder,60+ år
2008–2010,1102,Ingen tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2008–2010,1129,Ingen tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2008–2010,465,Ingen tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2008–2010,426,Ingen tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2008–2010,445,Ingen tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2008–2010,886,Ingen tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2008–2010,412,Ingen tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2008–2010,151,Ingen tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2008–2010,491,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2008–2010,393,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2008–2010,153,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2008–2010,185,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2008–2010,189,Ingen tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
