Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
0,4535,5,6,3,1,0
0,3542,5,6,3,1,1
0,4005,5,6,3,1,2
0,4597,5,6,3,1,3
0,9456,5,6,3,1,4
0,6416,5,6,3,1,5
0,5462,5,6,3,1,6
0,2000,5,6,3,0,0
0,1871,5,6,3,0,1
0,2236,5,6,3,0,2
0,2631,5,6,3,0,3
0,5026,5,6,3,0,4
0,2840,5,6,3,0,5
0,2123,5,6,3,0,6
0,1869,5,0,3,1,0
0,1740,5,0,3,1,1
0,1958,5,0,3,1,2
0,1972,5,0,3,1,3
0,4120,5,0,3,1,4
0,2227,5,0,3,1,5
0,1359,5,0,3,1,6
0,350,5,0,3,0,0
0,385,5,0,3,0,1
0,437,5,0,3,0,2
0,574,5,0,3,0,3
0,1130,5,0,3,0,4
0,520,5,0,3,0,5
0,285,5,0,3,0,6
0,1070,5,2,3,1,0
0,884,5,2,3,1,1
0,873,5,2,3,1,2
0,853,5,2,3,1,3
0,1608,5,2,3,1,4
0,770,5,2,3,1,5
0,394,5,2,3,1,6
0,102,5,2,3,0,0
0,92,5,2,3,0,1
0,103,5,2,3,0,2
0,102,5,2,3,0,3
0,310,5,2,3,0,4
0,134,5,2,3,0,5
0,51,5,2,3,0,6
0,580,5,3,3,1,0
0,486,5,3,3,1,1
0,423,5,3,3,1,2
0,377,5,3,3,1,3
0,724,5,3,3,1,4
0,311,5,3,3,1,5
0,153,5,3,3,1,6
0,30,5,3,3,0,0
0,35,5,3,3,0,1
0,30,5,3,3,0,2
0,36,5,3,3,0,3
0,82,5,3,3,0,4
0,31,5,3,3,0,5
0,18,5,3,3,0,6
0,327,5,4,3,1,0
0,287,5,4,3,1,1
0,214,5,4,3,1,2
0,179,5,4,3,1,3
0,314,5,4,3,1,4
0,109,5,4,3,1,5
0,38,5,4,3,1,6
0,19,5,4,3,0,0
0,11,5,4,3,0,1
0,15,5,4,3,0,2
0,20,5,4,3,0,3
0,31,5,4,3,0,4
0,16,5,4,3,0,5
0,8,5,4,3,0,6
0,506,5,5,3,1,0
0,377,5,5,3,1,1
0,275,5,5,3,1,2
0,218,5,5,3,1,3
0,285,5,5,3,1,4
0,107,5,5,3,1,5
0,37,5,5,3,1,6
0,10,5,5,3,0,0
0,17,5,5,3,0,1
0,15,5,5,3,0,2
0,17,5,5,3,0,3
0,38,5,5,3,0,4
0,16,5,5,3,0,5
0,11,5,5,3,0,6
0,43,5,1,3,1,0
0,23,5,1,3,1,1
0,26,5,1,3,1,2
0,16,5,1,3,1,3
0,19,5,1,3,1,4
0,5,5,1,3,1,5
0,4,5,1,3,1,6
0,1,5,1,3,0,0
0,1,5,1,3,0,1
0,0,5,1,3,0,2
0,1,5,1,3,0,3
0,1,5,1,3,0,4
0,4,5,1,3,0,5
0,0,5,1,3,0,6
0,0,0,6,3,1,0
0,0,0,6,3,1,1
0,0,0,6,3,1,2
0,0,0,6,3,1,3
0,0,0,6,3,1,4
0,0,0,6,3,1,5
0,0,0,6,3,1,6
0,0,0,6,3,0,0
0,0,0,6,3,0,1
0,0,0,6,3,0,2
0,0,0,6,3,0,3
0,0,0,6,3,0,4
0,0,0,6,3,0,5
0,0,0,6,3,0,6
0,0,0,0,3,1,0
0,0,0,0,3,1,1
0,0,0,0,3,1,2
0,0,0,0,3,1,3
0,0,0,0,3,1,4
0,0,0,0,3,1,5
0,0,0,0,3,1,6
0,0,0,0,3,0,0
0,0,0,0,3,0,1
0,0,0,0,3,0,2
0,0,0,0,3,0,3
0,0,0,0,3,0,4
0,0,0,0,3,0,5
0,0,0,0,3,0,6
0,0,0,2,3,1,0
0,0,0,2,3,1,1
0,0,0,2,3,1,2
0,0,0,2,3,1,3
0,0,0,2,3,1,4
0,0,0,2,3,1,5
0,0,0,2,3,1,6
0,0,0,2,3,0,0
0,0,0,2,3,0,1
0,0,0,2,3,0,2
0,0,0,2,3,0,3
0,0,0,2,3,0,4
0,0,0,2,3,0,5
0,0,0,2,3,0,6
0,0,0,3,3,1,0
0,0,0,3,3,1,1
0,0,0,3,3,1,2
0,0,0,3,3,1,3
0,0,0,3,3,1,4
0,0,0,3,3,1,5
0,0,0,3,3,1,6
0,0,0,3,3,0,0
0,0,0,3,3,0,1
0,0,0,3,3,0,2
0,0,0,3,3,0,3
0,0,0,3,3,0,4
0,0,0,3,3,0,5
0,0,0,3,3,0,6
0,0,0,4,3,1,0
0,0,0,4,3,1,1
0,0,0,4,3,1,2
0,0,0,4,3,1,3
0,0,0,4,3,1,4
0,0,0,4,3,1,5
0,0,0,4,3,1,6
0,0,0,4,3,0,0
0,0,0,4,3,0,1
0,0,0,4,3,0,2
0,0,0,4,3,0,3
0,0,0,4,3,0,4
0,0,0,4,3,0,5
0,0,0,4,3,0,6
0,0,0,5,3,1,0
0,0,0,5,3,1,1
0,0,0,5,3,1,2
0,0,0,5,3,1,3
0,0,0,5,3,1,4
0,0,0,5,3,1,5
0,0,0,5,3,1,6
0,0,0,5,3,0,0
0,0,0,5,3,0,1
0,0,0,5,3,0,2
0,0,0,5,3,0,3
0,0,0,5,3,0,4
0,0,0,5,3,0,5
0,0,0,5,3,0,6
0,0,0,1,3,1,0
0,0,0,1,3,1,1
0,0,0,1,3,1,2
0,0,0,1,3,1,3
0,0,0,1,3,1,4
0,0,0,1,3,1,5
0,0,0,1,3,1,6
0,0,0,1,3,0,0
0,0,0,1,3,0,1
0,0,0,1,3,0,2
0,0,0,1,3,0,3
0,0,0,1,3,0,4
0,0,0,1,3,0,5
0,0,0,1,3,0,6
0,0,2,6,3,1,0
0,0,2,6,3,1,1
0,0,2,6,3,1,2
0,0,2,6,3,1,3
0,0,2,6,3,1,4
0,0,2,6,3,1,5
0,0,2,6,3,1,6
0,0,2,6,3,0,0
0,0,2,6,3,0,1
0,0,2,6,3,0,2
0,0,2,6,3,0,3
0,0,2,6,3,0,4
0,0,2,6,3,0,5
0,0,2,6,3,0,6
0,0,2,0,3,1,0
0,0,2,0,3,1,1
0,0,2,0,3,1,2
0,0,2,0,3,1,3
0,0,2,0,3,1,4
0,0,2,0,3,1,5
0,0,2,0,3,1,6
0,0,2,0,3,0,0
0,0,2,0,3,0,1
0,0,2,0,3,0,2
0,0,2,0,3,0,3
0,0,2,0,3,0,4
0,0,2,0,3,0,5
0,0,2,0,3,0,6
0,0,2,2,3,1,0
0,0,2,2,3,1,1
0,0,2,2,3,1,2
0,0,2,2,3,1,3
0,0,2,2,3,1,4
0,0,2,2,3,1,5
0,0,2,2,3,1,6
0,0,2,2,3,0,0
0,0,2,2,3,0,1
0,0,2,2,3,0,2
0,0,2,2,3,0,3
0,0,2,2,3,0,4
0,0,2,2,3,0,5
0,0,2,2,3,0,6
0,0,2,3,3,1,0
0,0,2,3,3,1,1
0,0,2,3,3,1,2
0,0,2,3,3,1,3
0,0,2,3,3,1,4
0,0,2,3,3,1,5
0,0,2,3,3,1,6
0,0,2,3,3,0,0
0,0,2,3,3,0,1
0,0,2,3,3,0,2
0,0,2,3,3,0,3
0,0,2,3,3,0,4
0,0,2,3,3,0,5
0,0,2,3,3,0,6
0,0,2,4,3,1,0
0,0,2,4,3,1,1
0,0,2,4,3,1,2
0,0,2,4,3,1,3
0,0,2,4,3,1,4
0,0,2,4,3,1,5
0,0,2,4,3,1,6
0,0,2,4,3,0,0
0,0,2,4,3,0,1
0,0,2,4,3,0,2
0,0,2,4,3,0,3
0,0,2,4,3,0,4
0,0,2,4,3,0,5
0,0,2,4,3,0,6
0,0,2,5,3,1,0
0,0,2,5,3,1,1
0,0,2,5,3,1,2
0,0,2,5,3,1,3
0,0,2,5,3,1,4
0,0,2,5,3,1,5
0,0,2,5,3,1,6
0,0,2,5,3,0,0
0,0,2,5,3,0,1
0,0,2,5,3,0,2
0,0,2,5,3,0,3
0,0,2,5,3,0,4
0,0,2,5,3,0,5
0,0,2,5,3,0,6
0,0,2,1,3,1,0
0,0,2,1,3,1,1
0,0,2,1,3,1,2
