KØN,ALDER1,UDDANNELSE,VARTILBAGE,TID,INDHOLD
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2008:2010,3502
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2009:2011,3727
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2010:2012,3137
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2011:2013,3147
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2012:2014,3000
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2013:2015,2599
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2014:2016,2657
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2015:2017,2162
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2016:2018,2506
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2017:2019,2401
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2018:2020,2584
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2019:2021,3217
Mænd,15-19 år,Grundskole,Ingen tilbagefald,2020:2022,3380
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2008:2010,1930
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2009:2011,1875
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2010:2012,1745
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2011:2013,2008
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2012:2014,1956
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2013:2015,1912
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2014:2016,1828
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2015:2017,1545
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2016:2018,1695
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2017:2019,1548
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2018:2020,1714
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2019:2021,1745
Mænd,15-19 år,Grundskole,I løbet af 6 måneder,2020:2022,1771
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2008:2010,1015
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2009:2011,988
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2010:2012,985
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2011:2013,993
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2012:2014,969
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2013:2015,873
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2014:2016,771
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2015:2017,689
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2016:2018,795
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2017:2019,782
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2018:2020,764
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2019:2021,918
Mænd,15-19 år,Grundskole,Efter 6 måneder og indenfor 1 år,2020:2022,829
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2008:2010,1119
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2009:2011,1190
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2010:2012,1292
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2011:2013,1196
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2012:2014,1162
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2013:2015,968
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2014:2016,945
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2015:2017,819
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2016:2018,920
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2017:2019,914
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2018:2020,883
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2019:2021,972
Mænd,15-19 år,Grundskole,Efter 1 år og indenfor 2 år,2020:2022,1006
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2008:2010,1102
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2009:2011,1357
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2010:2012,1391
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2011:2013,1623
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2012:2014,1912
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2013:2015,2044
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2014:2016,2063
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2015:2017,1801
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2016:2018,2559
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2017:2019,2776
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2018:2020,2729
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2019:2021,2831
Mænd,15-19 år,Gymnasial uddannelse,Ingen tilbagefald,2020:2022,2026
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2008:2010,138
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2009:2011,188
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2010:2012,179
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2011:2013,257
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2012:2014,357
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2013:2015,378
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2014:2016,384
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2015:2017,319
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2016:2018,441
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2017:2019,516
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2018:2020,537
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2019:2021,562
Mænd,15-19 år,Gymnasial uddannelse,I løbet af 6 måneder,2020:2022,410
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2008:2010,108
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2009:2011,111
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2010:2012,164
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2011:2013,201
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2012:2014,269
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2013:2015,229
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2014:2016,252
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2015:2017,219
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2016:2018,291
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2017:2019,291
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2018:2020,331
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2019:2021,300
Mænd,15-19 år,Gymnasial uddannelse,Efter 6 måneder og indenfor 1 år,2020:2022,250
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2008:2010,134
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2009:2011,193
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2010:2012,208
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2011:2013,259
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2012:2014,332
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2013:2015,336
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2014:2016,310
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2015:2017,300
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2016:2018,323
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2017:2019,377
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2018:2020,412
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2019:2021,362
Mænd,15-19 år,Gymnasial uddannelse,Efter 1 år og indenfor 2 år,2020:2022,335
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2008:2010,2011
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2009:2011,2265
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2010:2012,1924
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2011:2013,2013
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2012:2014,1959
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2013:2015,1809
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2014:2016,1821
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2015:2017,1484
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2016:2018,965
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2017:2019,1035
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2018:2020,970
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2019:2021,1056
Mænd,15-19 år,Erhvervsuddannelse,Ingen tilbagefald,2020:2022,1023
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2008:2010,730
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2009:2011,734
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2010:2012,742
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2011:2013,916
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2012:2014,1034
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2013:2015,932
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2014:2016,812
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2015:2017,648
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2016:2018,340
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2017:2019,323
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2018:2020,384
Mænd,15-19 år,Erhvervsuddannelse,I løbet af 6 måneder,2019:2021,415
