Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
2009–2011,4535,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,20–24 år
2009–2011,3542,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,25–29 år
2009–2011,4005,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,30–34 år
2009–2011,4597,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,35–39 år
2009–2011,9456,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,40–49 år
2009–2011,6416,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,50–59 år
2009–2011,5462,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Mænd,60+ år
2009–2011,2000,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,20–24 år
2009–2011,1871,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,25–29 år
2009–2011,2236,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,30–34 år
2009–2011,2631,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,35–39 år
2009–2011,5026,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,40–49 år
2009–2011,2840,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,50–59 år
2009–2011,2123,Ingen tilbagefald,Ingen tidligere domme,Ingen tilbagefald,Kvinder,60+ år
2009–2011,1869,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,20–24 år
2009–2011,1740,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,25–29 år
2009–2011,1958,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,30–34 år
2009–2011,1972,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,35–39 år
2009–2011,4120,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,40–49 år
2009–2011,2227,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,50–59 år
2009–2011,1359,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Mænd,60+ år
2009–2011,350,Ingen tilbagefald,1 Tidligere dom,Ingen tilbagefald,Kvinder,20–24 år
