Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
0,3502,5,1,1,0
0,2908,5,1,1,1
0,2126,5,1,1,2
0,1996,5,1,1,3
0,2185,5,1,1,4
0,4224,5,1,1,5
0,2580,5,1,1,6
0,2159,5,1,1,7
0,1155,5,1,0,0
0,805,5,1,0,1
0,519,5,1,0,2
0,583,5,1,0,3
0,637,5,1,0,4
0,1326,5,1,0,5
0,914,5,1,0,6
0,879,5,1,0,7
0,1102,5,2,1,0
0,1129,5,2,1,1
0,465,5,2,1,2
0,426,5,2,1,3
0,445,5,2,1,4
0,886,5,2,1,5
0,412,5,2,1,6
0,151,5,2,1,7
0,491,5,2,0,0
0,393,5,2,0,1
0,153,5,2,0,2
0,185,5,2,0,3
0,189,5,2,0,4
0,380,5,2,0,5
0,93,5,2,0,6
0,57,5,2,0,7
0,2011,5,0,1,0
0,3506,5,0,1,1
0,3094,5,0,1,2
0,3313,5,0,1,3
0,3300,5,0,1,4
0,6700,5,0,1,5
0,3947,5,0,1,6
0,2737,5,0,1,7
0,274,5,0,0,0
0,682,5,0,0,1
0,805,5,0,0,2
0,1065,5,0,0,3
0,1108,5,0,0,4
0,2279,5,0,0,5
0,1090,5,0,0,6
0,755,5,0,0,7
0,19,5,4,1,0
0,596,5,4,1,1
0,1130,5,4,1,2
0,1571,5,4,1,3
0,1809,5,4,1,4
0,3403,5,4,1,5
0,2191,5,4,1,6
0,1506,5,4,1,7
0,4,5,4,0,0
0,389,5,4,0,1
0,663,5,4,0,2
0,951,5,4,0,3
0,1171,5,4,0,4
0,2120,5,4,0,5
0,1176,5,4,0,6
0,621,5,4,0,7
0,96,5,3,1,0
0,359,5,3,1,1
0,440,5,3,1,2
0,393,5,3,1,3
0,365,5,3,1,4
0,715,5,3,1,5
0,368,5,3,1,6
0,259,5,3,1,7
0,35,5,3,0,0
0,74,5,3,0,1
0,101,5,3,0,2
0,83,5,3,0,3
0,76,5,3,0,4
0,127,5,3,0,5
0,72,5,3,0,6
0,58,5,3,0,7
0,1405,0,1,1,0
0,1205,0,1,1,1
0,861,0,1,1,2
0,737,0,1,1,3
0,651,0,1,1,4
0,1080,0,1,1,5
0,477,0,1,1,6
0,268,0,1,1,7
0,165,0,1,0,0
0,137,0,1,0,1
0,103,0,1,0,2
0,108,0,1,0,3
0,100,0,1,0,4
0,211,0,1,0,5
0,80,0,1,0,6
0,67,0,1,0,7
0,212,0,2,1,0
0,196,0,2,1,1
0,105,0,2,1,2
0,115,0,2,1,3
0,123,0,2,1,4
0,169,0,2,1,5
0,77,0,2,1,6
0,20,0,2,1,7
0,38,0,2,0,0
0,37,0,2,0,1
0,19,0,2,0,2
0,20,0,2,0,3
0,28,0,2,0,4
0,47,0,2,0,5
0,11,0,2,0,6
0,0,0,2,0,7
0,753,0,0,1,0
0,1063,0,0,1,1
0,751,0,0,1,2
0,804,0,0,1,3
0,710,0,0,1,4
0,1288,0,0,1,5
0,574,0,0,1,6
0,263,0,0,1,7
0,41,0,0,0,0
0,75,0,0,0,1
0,93,0,0,0,2
0,117,0,0,0,3
0,138,0,0,0,4
0,250,0,0,0,5
0,80,0,0,0,6
0,38,0,0,0,7
0,3,0,4,1,0
0,102,0,4,1,1
0,169,0,4,1,2
0,223,0,4,1,3
0,284,0,4,1,4
0,611,0,4,1,5
0,338,0,4,1,6
0,149,0,4,1,7
0,0,0,4,0,0
0,29,0,4,0,1
0,58,0,4,0,2
0,102,0,4,0,3
0,116,0,4,0,4
0,206,0,4,0,5
0,95,0,4,0,6
0,44,0,4,0,7
0,40,0,3,1,0
0,130,0,3,1,1
0,125,0,3,1,2
0,98,0,3,1,3
0,92,0,3,1,4
0,177,0,3,1,5
0,69,0,3,1,6
0,27,0,3,1,7
0,6,0,3,0,0
0,11,0,3,0,1
0,7,0,3,0,2
0,6,0,3,0,3
0,10,0,3,0,4
0,16,0,3,0,5
0,12,0,3,0,6
0,5,0,3,0,7
0,717,2,1,1,0
0,657,2,1,1,1
0,443,2,1,1,2
0,360,2,1,1,3
0,262,2,1,1,4
0,447,2,1,1,5
0,139,2,1,1,6
0,67,2,1,1,7
0,60,2,1,0,0
0,57,2,1,0,1
0,37,2,1,0,2
0,27,2,1,0,3
0,44,2,1,0,4
0,70,2,1,0,5
0,25,2,1,0,6
0,14,2,1,0,7
0,78,2,2,1,0
0,69,2,2,1,1
0,37,2,2,1,2
0,34,2,2,1,3
0,38,2,2,1,4
0,43,2,2,1,5
0,11,2,2,1,6
0,7,2,2,1,7
0,6,2,2,0,0
0,5,2,2,0,1
0,3,2,2,0,2
0,7,2,2,0,3
0,5,2,2,0,4
0,4,2,2,0,5
0,4,2,2,0,6
0,1,2,2,0,7
0,331,2,0,1,0
0,423,2,0,1,1
0,261,2,0,1,2
0,244,2,0,1,3
0,234,2,0,1,4
0,359,2,0,1,5
0,132,2,0,1,6
0,56,2,0,1,7
0,15,2,0,0,0
0,14,2,0,0,1
0,16,2,0,0,2
0,15,2,0,0,3
0,22,2,0,0,4
0,43,2,0,0,5
0,8,2,0,0,6
0,10,2,0,0,7
0,0,2,4,1,0
0,25,2,4,1,1
0,56,2,4,1,2
0,45,2,4,1,3
0,54,2,4,1,4
0,110,2,4,1,5
0,53,2,4,1,6
0,25,2,4,1,7
0,0,2,4,0,0
0,3,2,4,0,1
0,6,2,4,0,2
0,11,2,4,0,3
0,15,2,4,0,4
0,31,2,4,0,5
0,14,2,4,0,6
0,5,2,4,0,7
0,34,2,3,1,0
0,70,2,3,1,1
0,57,2,3,1,2
0,51,2,3,1,3
0,44,2,3,1,4
0,68,2,3,1,5
