OMRÅDE,KØN,ALDER,HERKOMST1,TID,INDHOLD
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2005,11112
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2006,10459
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2007,8805
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2008,8814
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2009,9187
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2010,8881
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2011,8826
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2012,9818
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2013,9318
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2014,9719
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2015,8293
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2016,8010
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2017,7683
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2018,7968
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2019,9210
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2020,8781
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2021,8099
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2022,8170
Region Hovedstaden,Mænd,15-29 år,Personer med dansk oprindelse,2023,8207
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2005,3742
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2006,4016
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2007,3245
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2008,3443
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2009,3820
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2010,4216
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2011,4183
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2012,4736
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2013,4566
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2014,4851
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2015,4569
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2016,4556
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2017,4637
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2018,4896
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2019,5385
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2020,5836
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2021,5640
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2022,5142
Region Hovedstaden,Mænd,15-29 år,Personer med udenlandsk oprindelse,2023,5251
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2005,15821
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2006,14269
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2007,11378
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2008,11262
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2009,11578
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2010,12218
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2011,11798
Region Hovedstaden,Mænd,30-49 år,Personer med dansk oprindelse,2012,12255
