OMRÅDE,KØN,ALDER,HERKOMST1,TID,INDHOLD
71,1,0,0,2005,11112
71,1,0,0,2006,10459
71,1,0,0,2007,8805
71,1,0,0,2008,8814
71,1,0,0,2009,9187
71,1,0,0,2010,8881
71,1,0,0,2011,8826
71,1,0,0,2012,9818
71,1,0,0,2013,9318
71,1,0,0,2014,9719
71,1,0,0,2015,8293
71,1,0,0,2016,8010
71,1,0,0,2017,7683
71,1,0,0,2018,7968
71,1,0,0,2019,9210
71,1,0,0,2020,8781
71,1,0,0,2021,8099
71,1,0,0,2022,8170
71,1,0,0,2023,8207
71,1,0,1,2005,3742
71,1,0,1,2006,4016
71,1,0,1,2007,3245
71,1,0,1,2008,3443
71,1,0,1,2009,3820
71,1,0,1,2010,4216
71,1,0,1,2011,4183
71,1,0,1,2012,4736
71,1,0,1,2013,4566
71,1,0,1,2014,4851
71,1,0,1,2015,4569
71,1,0,1,2016,4556
71,1,0,1,2017,4637
71,1,0,1,2018,4896
71,1,0,1,2019,5385
71,1,0,1,2020,5836
71,1,0,1,2021,5640
71,1,0,1,2022,5142
71,1,0,1,2023,5251
71,1,1,0,2005,15821
71,1,1,0,2006,14269
71,1,1,0,2007,11378
71,1,1,0,2008,11262
71,1,1,0,2009,11578
71,1,1,0,2010,12218
71,1,1,0,2011,11798
71,1,1,0,2012,12255
71,1,1,0,2013,11503
71,1,1,0,2014,12371
71,1,1,0,2015,11209
71,1,1,0,2016,9700
71,1,1,0,2017,8557
71,1,1,0,2018,8124
71,1,1,0,2019,9131
71,1,1,0,2020,10139
71,1,1,0,2021,9638
71,1,1,0,2022,9332
71,1,1,0,2023,8906
71,1,1,1,2005,4136
71,1,1,1,2006,4251
71,1,1,1,2007,3427
71,1,1,1,2008,3522
71,1,1,1,2009,3932
71,1,1,1,2010,4220
71,1,1,1,2011,4360
71,1,1,1,2012,4633
71,1,1,1,2013,4538
71,1,1,1,2014,4934
71,1,1,1,2015,4791
71,1,1,1,2016,4398
71,1,1,1,2017,4700
71,1,1,1,2018,4893
71,1,1,1,2019,5757
71,1,1,1,2020,6685
71,1,1,1,2021,6916
71,1,1,1,2022,6668
71,1,1,1,2023,7129
71,1,2,0,2005,6542
71,1,2,0,2006,5579
71,1,2,0,2007,4634
71,1,2,0,2008,4745
71,1,2,0,2009,5212
71,1,2,0,2010,6008
71,1,2,0,2011,6277
71,1,2,0,2012,6601
71,1,2,0,2013,6745
71,1,2,0,2014,7547
71,1,2,0,2015,7367
71,1,2,0,2016,7316
71,1,2,0,2017,6530
71,1,2,0,2018,6364
71,1,2,0,2019,7331
71,1,2,0,2020,8006
71,1,2,0,2021,7981
71,1,2,0,2022,8223
71,1,2,0,2023,7968
71,1,2,1,2005,986
71,1,2,1,2006,1004
71,1,2,1,2007,879
71,1,2,1,2008,835
71,1,2,1,2009,965
71,1,2,1,2010,1139
71,1,2,1,2011,1202
71,1,2,1,2012,1366
71,1,2,1,2013,1374
71,1,2,1,2014,1651
71,1,2,1,2015,1626
71,1,2,1,2016,1616
71,1,2,1,2017,1718
71,1,2,1,2018,1767
71,1,2,1,2019,2027
71,1,2,1,2020,2291
71,1,2,1,2021,2395
71,1,2,1,2022,2431
71,1,2,1,2023,2642
71,0,0,0,2005,2061
71,0,0,0,2006,1841
71,0,0,0,2007,1628
71,0,0,0,2008,1745
71,0,0,0,2009,1821
71,0,0,0,2010,1856
71,0,0,0,2011,1903
71,0,0,0,2012,1938
71,0,0,0,2013,1910
71,0,0,0,2014,2080
71,0,0,0,2015,1967
71,0,0,0,2016,1734
71,0,0,0,2017,1590
71,0,0,0,2018,1709
71,0,0,0,2019,2031
71,0,0,0,2020,2365
71,0,0,0,2021,2714
71,0,0,0,2022,2197
71,0,0,0,2023,2044
71,0,0,1,2005,614
71,0,0,1,2006,687
71,0,0,1,2007,522
71,0,0,1,2008,523
71,0,0,1,2009,742
71,0,0,1,2010,733
71,0,0,1,2011,702
71,0,0,1,2012,773
71,0,0,1,2013,797
71,0,0,1,2014,873
71,0,0,1,2015,909
71,0,0,1,2016,804
71,0,0,1,2017,766
71,0,0,1,2018,922
71,0,0,1,2019,1106
71,0,0,1,2020,1400
71,0,0,1,2021,1657
71,0,0,1,2022,1334
71,0,0,1,2023,1312
71,0,1,0,2005,4627
71,0,1,0,2006,3901
71,0,1,0,2007,3144
71,0,1,0,2008,3261
71,0,1,0,2009,3611
71,0,1,0,2010,3917
71,0,1,0,2011,3908
71,0,1,0,2012,3949
71,0,1,0,2013,3757
71,0,1,0,2014,4067
71,0,1,0,2015,3889
71,0,1,0,2016,3225
71,0,1,0,2017,2676
71,0,1,0,2018,2513
71,0,1,0,2019,2828
71,0,1,0,2020,3256
71,0,1,0,2021,3330
71,0,1,0,2022,3257
71,0,1,0,2023,3035
71,0,1,1,2005,839
71,0,1,1,2006,859
71,0,1,1,2007,658
71,0,1,1,2008,705
71,0,1,1,2009,803
71,0,1,1,2010,930
71,0,1,1,2011,982
71,0,1,1,2012,1095
71,0,1,1,2013,1082
71,0,1,1,2014,1221
71,0,1,1,2015,1275
71,0,1,1,2016,1157
71,0,1,1,2017,1225
71,0,1,1,2018,1261
71,0,1,1,2019,1472
71,0,1,1,2020,1807
71,0,1,1,2021,1917
71,0,1,1,2022,1966
71,0,1,1,2023,2003
71,0,2,0,2005,2131
71,0,2,0,2006,1837
71,0,2,0,2007,1488
71,0,2,0,2008,1595
71,0,2,0,2009,1727
71,0,2,0,2010,2144
71,0,2,0,2011,2278
71,0,2,0,2012,2431
71,0,2,0,2013,2468
71,0,2,0,2014,2933
71,0,2,0,2015,2961
71,0,2,0,2016,2721
71,0,2,0,2017,2525
71,0,2,0,2018,2432
71,0,2,0,2019,2709
71,0,2,0,2020,3023
71,0,2,0,2021,3150
71,0,2,0,2022,3230
71,0,2,0,2023,3010
71,0,2,1,2005,250
71,0,2,1,2006,212
71,0,2,1,2007,202
71,0,2,1,2008,190
71,0,2,1,2009,248
71,0,2,1,2010,270
71,0,2,1,2011,299
71,0,2,1,2012,313
71,0,2,1,2013,356
71,0,2,1,2014,423
71,0,2,1,2015,407
71,0,2,1,2016,407
71,0,2,1,2017,399
71,0,2,1,2018,420
71,0,2,1,2019,474
71,0,2,1,2020,595
71,0,2,1,2021,658
71,0,2,1,2022,720
71,0,2,1,2023,732
51,1,0,0,2005,4092
51,1,0,0,2006,3880
51,1,0,0,2007,3279
51,1,0,0,2008,3216
51,1,0,0,2009,3288
51,1,0,0,2010,3064
51,1,0,0,2011,3173
51,1,0,0,2012,3535
51,1,0,0,2013,3415
51,1,0,0,2014,3581
51,1,0,0,2015,3115
51,1,0,0,2016,2921
51,1,0,0,2017,2757
51,1,0,0,2018,2863
51,1,0,0,2019,3503
51,1,0,0,2020,3381
51,1,0,0,2021,3273
51,1,0,0,2022,3043
51,1,0,0,2023,3076
51,1,0,1,2005,1631
51,1,0,1,2006,1765
51,1,0,1,2007,1416
51,1,0,1,2008,1497
51,1,0,1,2009,1674
51,1,0,1,2010,1808
51,1,0,1,2011,1733
51,1,0,1,2012,2048
51,1,0,1,2013,1966
51,1,0,1,2014,2033
51,1,0,1,2015,1924
51,1,0,1,2016,1908
51,1,0,1,2017,1968
51,1,0,1,2018,1993
51,1,0,1,2019,2220
51,1,0,1,2020,2394
51,1,0,1,2021,2385
51,1,0,1,2022,2127
51,1,0,1,2023,2125
51,1,1,0,2005,5025
51,1,1,0,2006,4766
51,1,1,0,2007,3696
51,1,1,0,2008,3742
51,1,1,0,2009,3840
51,1,1,0,2010,3820
51,1,1,0,2011,3713
51,1,1,0,2012,3963
51,1,1,0,2013,3734
51,1,1,0,2014,3958
51,1,1,0,2015,3845
51,1,1,0,2016,3258
51,1,1,0,2017,2832
51,1,1,0,2018,2750
51,1,1,0,2019,3126
51,1,1,0,2020,3676
51,1,1,0,2021,3562
51,1,1,0,2022,3247
51,1,1,0,2023,2979
51,1,1,1,2005,1926
51,1,1,1,2006,1975
51,1,1,1,2007,1570
51,1,1,1,2008,1631
51,1,1,1,2009,1782
51,1,1,1,2010,1808
51,1,1,1,2011,1821
51,1,1,1,2012,1907
51,1,1,1,2013,1887
51,1,1,1,2014,1993
51,1,1,1,2015,1922
51,1,1,1,2016,1737
51,1,1,1,2017,1800
51,1,1,1,2018,1849
51,1,1,1,2019,2175
51,1,1,1,2020,2451
51,1,1,1,2021,2574
51,1,1,1,2022,2403
51,1,1,1,2023,2533
51,1,2,0,2005,1392
51,1,2,0,2006,1281
51,1,2,0,2007,1039
51,1,2,0,2008,1088
51,1,2,0,2009,1090
51,1,2,0,2010,1236
51,1,2,0,2011,1241
51,1,2,0,2012,1309
51,1,2,0,2013,1386
51,1,2,0,2014,1492
51,1,2,0,2015,1624
51,1,2,0,2016,1599
51,1,2,0,2017,1437
51,1,2,0,2018,1402
51,1,2,0,2019,1661
51,1,2,0,2020,1967
51,1,2,0,2021,2097
51,1,2,0,2022,2079
51,1,2,0,2023,2070
51,1,2,1,2005,369
51,1,2,1,2006,404
51,1,2,1,2007,352
51,1,2,1,2008,320
51,1,2,1,2009,387
51,1,2,1,2010,426
51,1,2,1,2011,427
51,1,2,1,2012,506
51,1,2,1,2013,523
51,1,2,1,2014,613
51,1,2,1,2015,646
51,1,2,1,2016,631
51,1,2,1,2017,634
51,1,2,1,2018,619
51,1,2,1,2019,770
51,1,2,1,2020,913
51,1,2,1,2021,953
51,1,2,1,2022,916
51,1,2,1,2023,970
51,0,0,0,2005,834
51,0,0,0,2006,720
51,0,0,0,2007,657
51,0,0,0,2008,690
51,0,0,0,2009,735
51,0,0,0,2010,712
51,0,0,0,2011,732
51,0,0,0,2012,721
51,0,0,0,2013,692
51,0,0,0,2014,790
51,0,0,0,2015,789
51,0,0,0,2016,674
51,0,0,0,2017,591
51,0,0,0,2018,616
51,0,0,0,2019,791
51,0,0,0,2020,997
51,0,0,0,2021,1249
51,0,0,0,2022,873
51,0,0,0,2023,806
51,0,0,1,2005,265
51,0,0,1,2006,308
51,0,0,1,2007,239
51,0,0,1,2008,224
51,0,0,1,2009,351
51,0,0,1,2010,280
51,0,0,1,2011,336
51,0,0,1,2012,337
51,0,0,1,2013,321
51,0,0,1,2014,378
51,0,0,1,2015,369
51,0,0,1,2016,347
51,0,0,1,2017,330
51,0,0,1,2018,395
51,0,0,1,2019,457
51,0,0,1,2020,597
51,0,0,1,2021,757
51,0,0,1,2022,564
51,0,0,1,2023,567
51,0,1,0,2005,1019
51,0,1,0,2006,973
51,0,1,0,2007,701
51,0,1,0,2008,767
51,0,1,0,2009,851
51,0,1,0,2010,844
51,0,1,0,2011,839
51,0,1,0,2012,897
51,0,1,0,2013,816
51,0,1,0,2014,862
51,0,1,0,2015,995
51,0,1,0,2016,825
51,0,1,0,2017,712
51,0,1,0,2018,702
51,0,1,0,2019,776
51,0,1,0,2020,1021
51,0,1,0,2021,1115
51,0,1,0,2022,1024
51,0,1,0,2023,954
51,0,1,1,2005,306
51,0,1,1,2006,340
51,0,1,1,2007,242
51,0,1,1,2008,248
51,0,1,1,2009,302
51,0,1,1,2010,330
51,0,1,1,2011,331
51,0,1,1,2012,359
51,0,1,1,2013,321
51,0,1,1,2014,367
51,0,1,1,2015,406
51,0,1,1,2016,384
51,0,1,1,2017,374
51,0,1,1,2018,386
51,0,1,1,2019,488
51,0,1,1,2020,631
51,0,1,1,2021,678
51,0,1,1,2022,685
51,0,1,1,2023,699
51,0,2,0,2005,413
51,0,2,0,2006,376
51,0,2,0,2007,267
51,0,2,0,2008,294
51,0,2,0,2009,340
51,0,2,0,2010,370
51,0,2,0,2011,391
51,0,2,0,2012,427
51,0,2,0,2013,400
51,0,2,0,2014,468
51,0,2,0,2015,567
51,0,2,0,2016,508
51,0,2,0,2017,486
51,0,2,0,2018,450
51,0,2,0,2019,523
51,0,2,0,2020,673
51,0,2,0,2021,714
51,0,2,0,2022,693
51,0,2,0,2023,694
51,0,2,1,2005,68
51,0,2,1,2006,75
51,0,2,1,2007,53
51,0,2,1,2008,65
51,0,2,1,2009,86
51,0,2,1,2010,96
51,0,2,1,2011,94
51,0,2,1,2012,91
51,0,2,1,2013,117
51,0,2,1,2014,119
51,0,2,1,2015,134
51,0,2,1,2016,137
51,0,2,1,2017,128
51,0,2,1,2018,114
51,0,2,1,2019,149
51,0,2,1,2020,196
51,0,2,1,2021,241
51,0,2,1,2022,224
51,0,2,1,2023,248
21,1,0,0,2005,518
21,1,0,0,2006,473
21,1,0,0,2007,369
21,1,0,0,2008,375
21,1,0,0,2009,392
21,1,0,0,2010,321
21,1,0,0,2011,388
21,1,0,0,2012,439
21,1,0,0,2013,388
21,1,0,0,2014,416
21,1,0,0,2015,371
21,1,0,0,2016,366
21,1,0,0,2017,362
21,1,0,0,2018,365
21,1,0,0,2019,414
21,1,0,0,2020,385
21,1,0,0,2021,347
21,1,0,0,2022,356
21,1,0,0,2023,353
21,1,0,1,2005,181
21,1,0,1,2006,182
21,1,0,1,2007,145
21,1,0,1,2008,158
21,1,0,1,2009,155
21,1,0,1,2010,155
21,1,0,1,2011,174
21,1,0,1,2012,194
21,1,0,1,2013,187
21,1,0,1,2014,188
21,1,0,1,2015,153
21,1,0,1,2016,149
21,1,0,1,2017,156
21,1,0,1,2018,179
21,1,0,1,2019,201
21,1,0,1,2020,205
21,1,0,1,2021,171
21,1,0,1,2022,154
21,1,0,1,2023,186
21,1,1,0,2005,770
21,1,1,0,2006,739
21,1,1,0,2007,553
21,1,1,0,2008,560
21,1,1,0,2009,560
21,1,1,0,2010,569
21,1,1,0,2011,565
21,1,1,0,2012,530
21,1,1,0,2013,567
21,1,1,0,2014,589
21,1,1,0,2015,621
21,1,1,0,2016,537
21,1,1,0,2017,476
21,1,1,0,2018,401
21,1,1,0,2019,440
21,1,1,0,2020,468
21,1,1,0,2021,447
21,1,1,0,2022,415
21,1,1,0,2023,446
21,1,1,1,2005,184
21,1,1,1,2006,209
21,1,1,1,2007,146
21,1,1,1,2008,144
21,1,1,1,2009,149
21,1,1,1,2010,158
21,1,1,1,2011,188
21,1,1,1,2012,174
21,1,1,1,2013,188
21,1,1,1,2014,191
21,1,1,1,2015,187
21,1,1,1,2016,181
21,1,1,1,2017,167
21,1,1,1,2018,148
21,1,1,1,2019,198
21,1,1,1,2020,252
21,1,1,1,2021,237
21,1,1,1,2022,243
21,1,1,1,2023,248
21,1,2,0,2005,322
21,1,2,0,2006,262
21,1,2,0,2007,200
21,1,2,0,2008,188
21,1,2,0,2009,213
21,1,2,0,2010,221
21,1,2,0,2011,245
21,1,2,0,2012,244
21,1,2,0,2013,283
21,1,2,0,2014,267
21,1,2,0,2015,311
21,1,2,0,2016,344
21,1,2,0,2017,314
21,1,2,0,2018,285
21,1,2,0,2019,324
21,1,2,0,2020,372
21,1,2,0,2021,353
21,1,2,0,2022,382
21,1,2,0,2023,409
21,1,2,1,2005,59
21,1,2,1,2006,60
21,1,2,1,2007,45
21,1,2,1,2008,47
21,1,2,1,2009,48
21,1,2,1,2010,53
21,1,2,1,2011,56
21,1,2,1,2012,67
21,1,2,1,2013,68
21,1,2,1,2014,74
21,1,2,1,2015,74
21,1,2,1,2016,90
21,1,2,1,2017,76
21,1,2,1,2018,91
21,1,2,1,2019,95
21,1,2,1,2020,93
21,1,2,1,2021,87
21,1,2,1,2022,103
21,1,2,1,2023,105
21,0,0,0,2005,118
21,0,0,0,2006,121
21,0,0,0,2007,80
21,0,0,0,2008,98
21,0,0,0,2009,82
21,0,0,0,2010,70
21,0,0,0,2011,73
21,0,0,0,2012,78
21,0,0,0,2013,84
21,0,0,0,2014,84
21,0,0,0,2015,91
21,0,0,0,2016,67
21,0,0,0,2017,68
21,0,0,0,2018,69
21,0,0,0,2019,109
21,0,0,0,2020,123
21,0,0,0,2021,144
21,0,0,0,2022,99
21,0,0,0,2023,85
21,0,0,1,2005,28
21,0,0,1,2006,20
21,0,0,1,2007,23
21,0,0,1,2008,28
21,0,0,1,2009,26
21,0,0,1,2010,38
21,0,0,1,2011,20
21,0,0,1,2012,30
21,0,0,1,2013,30
21,0,0,1,2014,34
21,0,0,1,2015,28
21,0,0,1,2016,25
21,0,0,1,2017,40
21,0,0,1,2018,29
21,0,0,1,2019,38
21,0,0,1,2020,49
21,0,0,1,2021,71
21,0,0,1,2022,35
21,0,0,1,2023,43
21,0,1,0,2005,202
21,0,1,0,2006,178
21,0,1,0,2007,121
21,0,1,0,2008,137
21,0,1,0,2009,156
21,0,1,0,2010,143
21,0,1,0,2011,132
21,0,1,0,2012,160
21,0,1,0,2013,162
21,0,1,0,2014,130
21,0,1,0,2015,181
21,0,1,0,2016,134
21,0,1,0,2017,121
21,0,1,0,2018,108
21,0,1,0,2019,133
21,0,1,0,2020,126
21,0,1,0,2021,131
21,0,1,0,2022,127
21,0,1,0,2023,118
21,0,1,1,2005,51
21,0,1,1,2006,39
21,0,1,1,2007,37
21,0,1,1,2008,33
21,0,1,1,2009,33
21,0,1,1,2010,45
21,0,1,1,2011,45
21,0,1,1,2012,42
21,0,1,1,2013,51
21,0,1,1,2014,46
21,0,1,1,2015,48
21,0,1,1,2016,45
21,0,1,1,2017,54
21,0,1,1,2018,52
21,0,1,1,2019,65
21,0,1,1,2020,68
21,0,1,1,2021,89
21,0,1,1,2022,69
21,0,1,1,2023,88
21,0,2,0,2005,104
21,0,2,0,2006,77
21,0,2,0,2007,61
21,0,2,0,2008,69
21,0,2,0,2009,82
21,0,2,0,2010,75
21,0,2,0,2011,60
21,0,2,0,2012,74
21,0,2,0,2013,87
21,0,2,0,2014,107
21,0,2,0,2015,111
21,0,2,0,2016,114
21,0,2,0,2017,103
21,0,2,0,2018,95
21,0,2,0,2019,108
21,0,2,0,2020,134
21,0,2,0,2021,129
21,0,2,0,2022,140
21,0,2,0,2023,123
21,0,2,1,2005,21
21,0,2,1,2006,18
21,0,2,1,2007,17
21,0,2,1,2008,10
21,0,2,1,2009,14
21,0,2,1,2010,15
21,0,2,1,2011,13
21,0,2,1,2012,18
21,0,2,1,2013,18
21,0,2,1,2014,26
21,0,2,1,2015,25
21,0,2,1,2016,29
21,0,2,1,2017,29
21,0,2,1,2018,31
21,0,2,1,2019,30
21,0,2,1,2020,33
21,0,2,1,2021,32
21,0,2,1,2022,41
21,0,2,1,2023,24
12,1,0,0,2005,81
12,1,0,0,2006,83
12,1,0,0,2007,45
12,1,0,0,2008,59
12,1,0,0,2009,56
12,1,0,0,2010,50
12,1,0,0,2011,51
12,1,0,0,2012,55
12,1,0,0,2013,41
12,1,0,0,2014,64
12,1,0,0,2015,44
12,1,0,0,2016,43
12,1,0,0,2017,53
12,1,0,0,2018,44
12,1,0,0,2019,50
12,1,0,0,2020,50
12,1,0,0,2021,43
12,1,0,0,2022,66
12,1,0,0,2023,51
12,1,0,1,2005,5
12,1,0,1,2006,5
12,1,0,1,2007,4
12,1,0,1,2008,7
